Model,InputA,InputA Records,InputB,InputB Records,Attributes With Differences
JANU04,NU_A_CH.dat,50500,NU_B_CH.dat,50505,0
NOVE03,LAM_IN_EXT.dat,9700,LAM_OUT_EXT.dat,9700,2
