Model,InputA,InputA Records,InputB,InputB Records,Attributes With Differences
JANU03,FILE_A_ALPHA_BILL.dat,12000,FILE_B_ALPHA_BILL.dat,12000,7
JANU03,FILE_A_ALPHA_CH.dat,12000,FILE_B_ALPHA_CH.dat,12000,9
